tipo,osm_id,osm_url,lat,lon,mecanismo,categoria,voltaje,detalle,operador,peligro,riesgo_max,riesgo_medio,mes_pico,especies
apoyo,6170070313,https://www.openstreetmap.org/node/6170070313,36.271886,-5.4122861,electrocucion,distribucion,15000.0,tower,,1.0,8.804289915438881,5.021405305612544,may,"Cigüeña blanca, Águila real, Buitre leonado"
apoyo,6170070291,https://www.openstreetmap.org/node/6170070291,36.2963211,-5.403196,electrocucion,distribucion,15000.0,tower,,1.0,8.713691247223549,4.596145287252984,may,"Cigüeña blanca, Águila real, Buitre leonado"
apoyo,6170070290,https://www.openstreetmap.org/node/6170070290,36.2980321,-5.4014848,electrocucion,distribucion,15000.0,tower,,1.0,8.713691247223549,4.596145287252984,may,"Cigüeña blanca, Águila real, Buitre leonado"
apoyo,6170070292,https://www.openstreetmap.org/node/6170070292,36.2954348,-5.4035582,electrocucion,distribucion,15000.0,tower,,1.0,8.713691247223549,4.596145287252984,may,"Cigüeña blanca, Águila real, Buitre leonado"
apoyo,1135610861,https://www.openstreetmap.org/node/1135610861,36.1594185,-5.7351855,electrocucion,distribucion,66000.0,tower,,1.0,8.7051486894536,5.799283887199507,ago,"Culebrera europea, Cigüeña blanca, Alimoche"
apoyo,6710451055,https://www.openstreetmap.org/node/6710451055,36.2807126,-5.9255067,electrocucion,distribucion,20000.0,tower,,1.0,8.563023010076732,4.2136767988788035,dic,"Águila imperial ibérica, Águila real, Milano real"
apoyo,6710451056,https://www.openstreetmap.org/node/6710451056,36.2819862,-5.9256193,electrocucion,distribucion,20000.0,tower,,1.0,8.563023010076732,4.2136767988788035,dic,"Águila imperial ibérica, Águila real, Milano real"
apoyo,6504167747,https://www.openstreetmap.org/node/6504167747,36.1050777,-5.6184809,electrocucion,distribucion,20000.0,pole,,1.0,8.47761567325601,4.78058761225068,sep,"Águila real, Águila calzada, Culebrera europea"
apoyo,6504167746,https://www.openstreetmap.org/node/6504167746,36.1055436,-5.6196383,electrocucion,distribucion,20000.0,pole,,1.0,8.47761567325601,4.78058761225068,sep,"Águila real, Águila calzada, Culebrera europea"
aerogenerador,1135687477,https://www.openstreetmap.org/node/1135687477,36.1756011,-5.6651656,colision_aerogenerador,eolico,,1.8 MW,,,8.444912092764099,3.73469795004973,nov,"Águila real, Búho real, Águila imperial ibérica"
apoyo,9249311729,https://www.openstreetmap.org/node/9249311729,36.437632,-5.3077308,electrocucion,distribucion,66000.0,tower,,1.0,8.418904020320557,5.719890194699436,mar,"Buitre leonado, Águila calzada, Águila real"
aerogenerador,1135687357,https://www.openstreetmap.org/node/1135687357,36.1778291,-5.6632823,colision_aerogenerador,eolico,,1.8 MW,,,8.397059507397005,3.723875318092128,nov,"Águila real, Águila imperial ibérica, Búho real"
apoyo,6109973011,https://www.openstreetmap.org/node/6109973011,36.3133464,-5.320297,electrocucion,distribucion,66000.0,tower,,1.0,8.388971047648717,4.5684761940306275,sep,"Águila calzada, Abejero europeo, Búho real"
apoyo,6109973010,https://www.openstreetmap.org/node/6109973010,36.3110695,-5.3242184,electrocucion,distribucion,66000.0,tower,,1.0,8.388971047648717,4.5684761940306275,sep,"Águila calzada, Abejero europeo, Búho real"
apoyo,6222562431,https://www.openstreetmap.org/node/6222562431,36.2032804,-5.4119005,electrocucion,distribucion,66000.0,tower,,1.0,8.356127174847337,5.555978318315527,may,"Cigüeña blanca, Águila calzada, Águila real"
apoyo,6222562428,https://www.openstreetmap.org/node/6222562428,36.2033264,-5.4117523,electrocucion,distribucion,66000.0,tower,,1.0,8.356127174847337,5.555978318315527,may,"Cigüeña blanca, Águila calzada, Águila real"
apoyo,6222562434,https://www.openstreetmap.org/node/6222562434,36.2032517,-5.411979,electrocucion,distribucion,66000.0,tower,,1.0,8.356127174847337,5.555978318315527,may,"Cigüeña blanca, Águila calzada, Águila real"
aerogenerador,1341149406,https://www.openstreetmap.org/node/1341149406,36.4064766,-5.7630874,colision_aerogenerador,eolico,,2 MW,,,8.34854874529269,4.202312754975303,dic,"Milano real, Águila imperial ibérica, Águila real"
linea,1486888055,https://www.openstreetmap.org/way/1486888055,36.319221296551724,-5.902424179310345,colision_linea,transporte,220000.0,line,,,8.333847346517606,4.925171886287713,ene,"Milano real, Búho real, Águila perdicera"
apoyo,4038091767,https://www.openstreetmap.org/node/4038091767,36.2236625,-5.4107092,electrocucion,distribucion,66000.0,tower,,1.0,8.331297490132151,5.077376740361246,may,"Cigüeña blanca, Águila calzada, Águila real"
apoyo,4038091762,https://www.openstreetmap.org/node/4038091762,36.2215365,-5.4138856,electrocucion,distribucion,66000.0,tower,,1.0,8.331297490132151,5.077376740361246,may,"Cigüeña blanca, Águila calzada, Águila real"
apoyo,4038091765,https://www.openstreetmap.org/node/4038091765,36.2226991,-5.4121732,electrocucion,distribucion,66000.0,tower,,1.0,8.331297490132151,5.077376740361246,may,"Cigüeña blanca, Águila calzada, Águila real"
apoyo,1135616872,https://www.openstreetmap.org/node/1135616872,36.1654777,-5.7753276,electrocucion,distribucion,66000.0,tower,,1.0,8.312918498469834,5.500800889590262,feb,"Águila real, Halcón peregrino, Grulla común"
aerogenerador,1135691114,https://www.openstreetmap.org/node/1135691114,36.1705779,-5.6500274,colision_aerogenerador,eolico,,1.8 MW,,,8.30302516311626,4.235088009796656,sep,"Águila calzada, Abejero europeo, Búho real"
aerogenerador,9556249771,https://www.openstreetmap.org/node/9556249771,36.3576247,-5.3551931,colision_aerogenerador,eolico,,2.2 MW,,,8.300173186682311,3.035750580465477,feb,"Halcón peregrino, Águila perdicera, Culebrera europea"
aerogenerador,9556249770,https://www.openstreetmap.org/node/9556249770,36.3599853,-5.3555748,colision_aerogenerador,eolico,,2.2 MW,,,8.300173186682311,3.035750580465477,feb,"Halcón peregrino, Águila perdicera, Culebrera europea"
apoyo,2612084267,https://www.openstreetmap.org/node/2612084267,36.195435,-5.7909175,electrocucion,distribucion,66000.0,tower,,0.9,8.265413845485073,6.3113752725364884,jul,"Cigüeña blanca, Culebrera europea, Halcón peregrino"
apoyo,3455539571,https://www.openstreetmap.org/node/3455539571,36.1855656,-5.79531,electrocucion,distribucion,66000.0,tower,,1.0,8.2608378043479,4.845855663391872,jul,"Culebrera europea, Alimoche, Cigüeña blanca"
apoyo,6619841995,https://www.openstreetmap.org/node/6619841995,36.2192419,-5.947832,electrocucion,distribucion,20000.0,pole,,1.0,8.254076483392664,4.023750689436796,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,6619841996,https://www.openstreetmap.org/node/6619841996,36.2198981,-5.9482069,electrocucion,distribucion,20000.0,pole,,1.0,8.254076483392664,4.023750689436796,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,6619841994,https://www.openstreetmap.org/node/6619841994,36.2167469,-5.9458056,electrocucion,distribucion,20000.0,pole,,1.0,8.254076483392664,4.023750689436796,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,6109973020,https://www.openstreetmap.org/node/6109973020,36.3216778,-5.3058855,electrocucion,distribucion,66000.0,tower,,1.0,8.191954205774685,4.706840324059686,sep,"Cigüeña negra, Águila calzada, Culebrera europea"
apoyo,6110486085,https://www.openstreetmap.org/node/6110486085,36.3206245,-5.3077089,electrocucion,distribucion,66000.0,tower,,1.0,8.191954205774685,4.706840324059686,sep,"Cigüeña negra, Águila calzada, Culebrera europea"
aerogenerador,1341149261,https://www.openstreetmap.org/node/1341149261,36.4034917,-5.7763928,colision_aerogenerador,eolico,,2 MW,,,8.18548306770877,3.2250400469266847,nov,"Águila imperial ibérica, Milano real, Águila real"
aerogenerador,1341149377,https://www.openstreetmap.org/node/1341149377,36.4055169,-5.7654772,colision_aerogenerador,eolico,,2 MW,,,8.17713008261281,3.7838899084329185,nov,"Milano real, Águila imperial ibérica, Águila real"
apoyo,6153752489,https://www.openstreetmap.org/node/6153752489,36.2397336,-5.3349754,electrocucion,distribucion,,tower,,1.0,8.176224843492836,3.660621284768308,abr,"Halcón peregrino, Águila calzada, Culebrera europea"
apoyo,6153752487,https://www.openstreetmap.org/node/6153752487,36.2359011,-5.3342003,electrocucion,distribucion,,tower,,1.0,8.176224843492836,3.660621284768308,abr,"Halcón peregrino, Águila calzada, Culebrera europea"
apoyo,11732297029,https://www.openstreetmap.org/node/11732297029,36.1799193,-5.3753561,electrocucion,distribucion,,tower,,1.0,8.17557277893749,3.842251807432224,mar,"Halcón peregrino, Águila calzada, Milano negro"
apoyo,12187920294,https://www.openstreetmap.org/node/12187920294,36.175276,-5.3766392,electrocucion,distribucion,66000.0,tower,,1.0,8.17557277893749,3.842251807432224,mar,"Halcón peregrino, Águila calzada, Milano negro"
apoyo,11732297026,https://www.openstreetmap.org/node/11732297026,36.1780492,-5.3750394,electrocucion,distribucion,66000.0,tower,,1.0,8.17557277893749,3.842251807432224,mar,"Halcón peregrino, Águila calzada, Milano negro"
apoyo,11732297025,https://www.openstreetmap.org/node/11732297025,36.1786466,-5.3764847,electrocucion,distribucion,66000.0,tower,,1.0,8.17557277893749,3.842251807432224,mar,"Halcón peregrino, Águila calzada, Milano negro"
apoyo,11732297027,https://www.openstreetmap.org/node/11732297027,36.179839,-5.3754407,electrocucion,distribucion,66000.0,tower,,1.0,8.17557277893749,3.842251807432224,mar,"Halcón peregrino, Águila calzada, Milano negro"
linea,704857855,https://www.openstreetmap.org/way/704857855,36.216614199999995,-5.945582660000001,colision_linea,distribucion,20000.0,minor_line,,,8.112201369436708,4.195657781393818,abr,"Águila real, Búho real, Cigüeña blanca"
