tipo,osm_id,osm_url,lat,lon,mecanismo,categoria,voltaje,detalle,operador,peligro,riesgo_max,riesgo_medio,mes_pico,especies
apoyo,8307229251,https://www.openstreetmap.org/node/8307229251,42.7982509,-4.0105343,electrocucion,distribucion,12000.0,tower,,1.0,8.108046725501133,2.615890045840018,sep,"Halcón peregrino, Buitre leonado, Buitre negro"
apoyo,11537644615,https://www.openstreetmap.org/node/11537644615,43.0830398,-4.4449263,electrocucion,distribucion,12000.0,tower,,1.0,8.10632411354674,3.2586197045104988,feb,"Buitre leonado, Milano real, Chova piquirroja"
apoyo,11540432139,https://www.openstreetmap.org/node/11540432139,43.3113394,-3.8336624,electrocucion,distribucion,55000.0,tower,,1.0,8.105491249595499,3.528261655422545,may,"Buitre negro, Cigüeña negra, Garza real"
apoyo,1703021272,https://www.openstreetmap.org/node/1703021272,43.0931094,-3.3099631,electrocucion,desconocida,,tower,,1.0,8.098573705786682,3.336010389934336,oct,"Milano real, Chova piquirroja, Grulla común"
apoyo,1703021316,https://www.openstreetmap.org/node/1703021316,43.0940785,-3.3079031,electrocucion,desconocida,,tower,,1.0,8.098573705786682,3.336010389934336,oct,"Milano real, Chova piquirroja, Grulla común"
apoyo,7622906243,https://www.openstreetmap.org/node/7622906243,42.855064,-3.3988278,electrocucion,distribucion,,pole,,1.0,8.09805149042361,2.5596311451825744,sep,"Culebrera europea, Buitre negro, Búho real"
apoyo,7622906247,https://www.openstreetmap.org/node/7622906247,42.8593288,-3.3961334,electrocucion,distribucion,,pole,,1.0,8.09805149042361,2.5596311451825744,sep,"Culebrera europea, Buitre negro, Búho real"
apoyo,7622906245,https://www.openstreetmap.org/node/7622906245,42.8570531,-3.3975771,electrocucion,distribucion,,pole,,1.0,8.09805149042361,2.5596311451825744,sep,"Culebrera europea, Buitre negro, Búho real"
apoyo,7622906244,https://www.openstreetmap.org/node/7622906244,42.8560996,-3.3981808,electrocucion,distribucion,,pole,,1.0,8.09805149042361,2.5596311451825744,sep,"Culebrera europea, Buitre negro, Búho real"
apoyo,7622906246,https://www.openstreetmap.org/node/7622906246,42.8582468,-3.3968188,electrocucion,distribucion,,pole,,1.0,8.09805149042361,2.5596311451825744,sep,"Culebrera europea, Buitre negro, Búho real"
linea,901724195,https://www.openstreetmap.org/way/901724195,43.070177525,-3.3166672749999995,colision_linea,distribucion,,minor_line,,,8.09785594703249,3.140507643626839,may,"Cigüeña negra, Águila real, Alimoche"
apoyo,13625077797,https://www.openstreetmap.org/node/13625077797,43.1193433,-3.8540796,electrocucion,distribucion,12000.0,tower,,1.0,8.097836678210491,2.5438854576276237,jul,"Abejero europeo, Alimoche, Chova piquirroja"
apoyo,13625077798,https://www.openstreetmap.org/node/13625077798,43.1182824,-3.8527208,electrocucion,distribucion,12000.0,tower,,1.0,8.097836678210491,2.5438854576276237,jul,"Abejero europeo, Alimoche, Chova piquirroja"
